Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,V11_6_2,Time_Detail,Source,FootNote,Nature,Units,Location,Reporting Type
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",400,Jordan,2016,31.65,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",408,Democratic People's Republic of Korea,2016,30.97,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",414,Kuwait,2016,58.94,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",417,Kyrgyzstan,2016,17.35,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",422,Lebanon,2016,30.69,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",426,Lesotho,2016,28.09,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",434,Libya,2016,41.74,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",440,Lithuania,2016,12.30,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",442,Luxembourg,2016,10.39,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",450,Madagascar,2016,22.48,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",458,Malaysia,2016,17.32,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",404,Kenya,2016,25.78,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",410,Republic of Korea,2016,24.68,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",418,Lao People's Democratic Republic,2016,25.50,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",428,Latvia,2016,14.37,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",430,Liberia,2016,17.04,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",454,Malawi,2016,21.90,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",462,Maldives,2016,7.67,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",470,Malta,2016,13.99,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",478,Mauritania,2016,41.71,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",480,Mauritius,2016,13.52,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",496,Mongolia,2016,49.51,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",504,Morocco,2016,31.10,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",512,Oman,2016,36.17,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",520,Nauru,2016,12.53,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",528,Netherlands,2016,12.12,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",554,New Zealand,2016,5.84,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",562,Niger,2016,73.02,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",578,Norway,2016,7.77,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",585,Palau,2016,12.37,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",466,Mali,2016,29.01,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",484,Mexico,2016,20.88,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",492,Monaco,2016,12.20,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",498,Republic of Moldova,2016,16.49,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",499,Montenegro,2016,19.31,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",4,Afghanistan,2016,59.85,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",12,Algeria,2016,34.50,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",20,Andorra,2016,11.52,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",508,Mozambique,2016,18.43,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",516,Namibia,2016,20.96,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",524,Nepal,2016,99.46,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",548,Vanuatu,2016,11.01,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",558,Nicaragua,2016,19.00,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",566,Nigeria,2016,46.28,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",583,Micronesia (Federated States of),2016,10.46,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
11,11.6,11.6.2,EN_ATM_PM25,"Annual mean levels of fine particulate matter in cities, urban population (micrograms per cubic meter)",591,Panama,2016,11.99,2016,http://apps.who.int/gho/data/node.sdg.11-6,,E,mgr/m^3,URBAN,G
