Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Location,Nature,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,ALLAREA,E,G,PERCENT,26.01966,25.99761,25.16708,24.33728,23.49551,22.6422,21.79025,20.93946,20.09007,19.24209,18.39553,17.55019,16.70631,15.86389,15.02294,14.18329,13.45068,12.74019,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,RURAL,E,G,PERCENT,31.36838,31.36838,30.47309,29.5778,28.68251,27.78722,26.89193,25.99663,25.10134,24.20605,23.31076,22.41547,21.52018,20.62489,19.7296,18.83431,17.93902,17.04373,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",4,Afghanistan,URBAN,E,G,PERCENT,7.1419,7.1419,6.63766,6.13341,5.62917,5.12493,4.62068,4.11644,3.61219,3.10795,2.60371,2.09946,1.59522,1.09098,0.58673,0.08249,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,ALLAREA,E,G,PERCENT,0.86468,0.81726,0.76778,0.71874,0.67016,0.62206,0.57443,0.52728,0.48061,0.33286,0.30043,0.26916,0.23903,0.21015,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,RURAL,E,G,PERCENT,1.1513,1.09898,1.04665,0.99432,0.942,0.88967,0.83734,0.78502,0.73269,0.68036,0.62804,0.57571,0.52338,0.47106,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",8,Albania,URBAN,E,G,PERCENT,0.46463,0.43511,0.40558,0.37606,0.34654,0.31701,0.28749,0.25796,0.22844,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,ALLAREA,E,G,PERCENT,6.38279,5.92046,5.47129,5.03543,4.61273,4.20325,3.80661,3.42284,3.05159,2.69368,2.34833,2.01533,1.69422,1.38461,1.08603,0.79812,0.78537,0.77299,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,RURAL,E,G,PERCENT,14.81241,13.97671,13.14101,12.30532,11.46962,10.63392,9.79823,8.96253,8.12684,7.29114,6.45544,5.61975,4.78405,3.94835,3.11266,2.27696,2.27696,2.27696,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",12,Algeria,URBAN,E,G,PERCENT,0.74405,0.70709,0.67013,0.63316,0.5962,0.55924,0.52228,0.48532,0.44835,0.41139,0.37443,0.33747,0.30051,0.26354,0.22658,0.18962,0.18962,0.18962,,,,,,,,,,,,,,,,,,,,,,,
6,6.2,6.2.1,SH_SAN_DEFECT,"Proportion of population practicing open defecation, by urban/rural (%)",16,American Samoa,ALLAREA,E,G,PERCENT,,,,,0.72804,0.72804,0.72804,0.72804,0.72804,0.72502,0.722,0.71898,0.71596,0.71294,0.70992,0.70691,0.70389,0.70087,,,,,,,,,,,,,,,,,,,,,,,
