Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),4,Afghanistan,2016,0.72,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),8,Albania,2016,3.46,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),12,Algeria,2016,1.10,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),20,Andorra,2016,2.83,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),24,Angola,2016,-5.82,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),28,Antigua and Barbuda,2016,4.43,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),31,Azerbaijan,2016,-4.19,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),32,Argentina,2016,-3.05,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),36,Australia,2016,0.95,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),40,Austria,2016,1.28,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),44,Bahamas,2016,-0.54,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),48,Bahrain,2016,-0.35,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),50,Bangladesh,2016,5.95,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.1,8.1.1,NY_GDP_PCAP,Annual growth rate of real GDP per capita (%),51,Armenia,2016,-0.19,2016,,,,,"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",,,CA,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
