Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Observation Status,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),4,Afghanistan,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),8,Albania,2015,5.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),12,Algeria,2015,126.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),16,American Samoa,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),20,Andorra,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),24,Angola,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),28,Antigua and Barbuda,2015,8.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),31,Azerbaijan,2015,54.3,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),32,Argentina,2015,10.5,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),36,Australia,2015,6.8,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),40,Austria,2015,9.6,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),44,Bahamas,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),48,Bahrain,2015,137.2,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),50,Bangladesh,2015,5.7,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),51,Armenia,2015,66.0,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),52,Barbados,2015,NaN,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,NA,O,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),56,Belgium,2015,49.1,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,C,A,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6.4,6.4.2,ER_H2O_STRESS,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),60,Bermuda,2015,4.2,2013-2017,,,,,Food and Agriculture Organisation of United Nations (FAO),,,E,I,G,PERCENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
