ObjectId,Goal,Target,Indicator,Series,SeriesDescription,GeoAreaCode,GeoAreaName,Time_details,parentCode,parentName,type,ISO3,Value,Units,nature
1,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),100,Bulgaria,2019,151,Eastern Europe,Country,BGR,25.83,Percentage,C: Country data
2,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),104,Myanmar,2019,35,South-Eastern Asia,Country,MMR,11.32,Percentage,C: Country data
3,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),108,Burundi,2019,14,Eastern Africa,Country,BDI,36.36,Percentage,C: Country data
4,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),112,Belarus,2019,151,Eastern Europe,Country,BLR,34.55,Percentage,C: Country data
5,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),116,Cambodia,2019,35,South-Eastern Asia,Country,KHM,20,Percentage,C: Country data
6,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),12,Algeria,2019,15,Northern Africa,Country,DZA,25.76,Percentage,C: Country data
7,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),120,Cameroon,2019,17,Middle Africa,Country,CMR,31.11,Percentage,C: Country data
8,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),124,Canada,2019,21,Northern America,Country,CAN,26.95,Percentage,C: Country data
9,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),132,Cabo Verde,2019,11,Western Africa,Country,CPV,23.61,Percentage,C: Country data
10,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),140,Central African Republic,2019,17,Middle Africa,Country,CAF,8.57,Percentage,C: Country data
11,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),144,Sri Lanka,2019,34,Southern Asia,Country,LKA,5.33,Percentage,C: Country data
12,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),148,Chad,2019,17,Middle Africa,Country,TCD,14.88,Percentage,C: Country data
13,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),152,Chile,2019,5,South America,Country,CHL,22.58,Percentage,C: Country data
14,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),156,China,2019,30,Eastern Asia,Country,CHN,24.94,Percentage,C: Country data
15,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),170,Colombia,2019,5,South America,Country,COL,18.71,Percentage,C: Country data
16,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),174,Comoros,2019,14,Eastern Africa,Country,COM,6.06,Percentage,C: Country data
17,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),178,Congo,2019,11,Western Africa,Country,COG,11.26,Percentage,C: Country data
18,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),180,Democratic Republic of the Congo,2019,17,Middle Africa,Country,COD,10.31,Percentage,C: Country data
19,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),188,Costa Rica,2019,13,Central America,Country,CRI,45.61,Percentage,C: Country data
20,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),191,Croatia,2019,39,Southern Europe,Country,HRV,20.53,Percentage,C: Country data
21,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),192,Cuba,2019,29,Caribbean,Country,CUB,53.22,Percentage,C: Country data
22,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),196,Cyprus,2019,145,Western Asia,Country,CYP,17.86,Percentage,C: Country data
23,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),20,Andorra,2019,39,Southern Europe,Country,AND,32.14,Percentage,C: Country data
24,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),203,Czechia,2019,151,Eastern Europe,Country,CZE,22.5,Percentage,C: Country data
25,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),204,Benin,2019,11,Western Africa,Country,BEN,7.23,Percentage,C: Country data
26,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),208,Denmark,2019,154,Northern Europe,Country,DNK,37.43,Percentage,C: Country data
27,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),212,Dominica,2019,29,Caribbean,Country,DMA,25,Percentage,C: Country data
28,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),214,Dominican Republic,2019,29,Caribbean,Country,DOM,26.84,Percentage,C: Country data
29,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),218,Ecuador,2019,5,South America,Country,ECU,37.96,Percentage,C: Country data
30,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),222,El Salvador,2019,13,Central America,Country,SLV,30.95,Percentage,C: Country data
31,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),226,Equatorial Guinea,2019,17,Middle Africa,Country,GNQ,20,Percentage,C: Country data
32,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),231,Ethiopia,2019,14,Eastern Africa,Country,ETH,38.76,Percentage,C: Country data
33,5,5.5,5.5.1,SG_GEN_PARL,Proportion of seats held by women in national parliaments (% of total number of seats),232,Eritrea,2019,14,Eastern Africa,Country,ERI,22,Percentage,C: Country data
