Goal, Target, Indicator, SeriesCode, SeriesDescription, GeoAreaCode, GeoAreaName, TimePeriod, Value, Time_Detail, Source, Nature, Units,[Age],[Reporting Type],[Sex]
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),4,Afghanistan,2016,27451,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),4,Afghanistan,2016,33222,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),4,Afghanistan,2016,60673,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),8,Albania,2016,289,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),8,Albania,2016,162,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),8,Albania,2016,127,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),12,Algeria,2016,11665,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),12,Algeria,2016,21371,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),12,Algeria,2016,9706,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),20,Andorra,2016,1,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),20,Andorra,2016,1,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),20,Andorra,2016,2,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),24,Angola,2016,29086,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),24,Angola,2016,36717,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),24,Angola,2016,65803,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),28,Antigua and Barbuda,2016,8,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,BOTHSEX
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),28,Antigua and Barbuda,2016,4,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),28,Antigua and Barbuda,2016,4,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,MALE
3,3.2,3.2.1,SH_DYN_IMRTN,Infant deaths (number),31,Azerbaijan,2016,1602,2016,"United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), 2019.",E,NUMBER,<1Y,G,FEMALE
