Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",4,Afghanistan,2018,11.90048,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",8,Albania,2018,6.55792,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",12,Algeria,2018,20.72765,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",24,Angola,2018,3.28983,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",28,Antigua and Barbuda,2018,0.07984,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",31,Azerbaijan,2018,5.76314,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",32,Argentina,2018,4.07791,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",50,Bangladesh,2018,11.32151,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",51,Armenia,2018,4.91457,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",64,Bhutan,2018,2.50417,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",68,Bolivia (Plurinational State of),2018,2.05908,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",70,Bosnia and Herzegovina,2018,4.06615,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",72,Botswana,2018,1.42529,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.b,4.b.1,DC_TOF_SCHIPSL,"Total official flows for scholarships, by recipient countries (millions of constant 2018 United States dollars)",76,Brazil,2018,15.24492,2018,,,,2018,The Organisation for Economic Co-operation and Development (OECD).,,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",C,G,CON_USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
