ObjectId,goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level_,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2020,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
1,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",100,Bulgaria,4,151,Eastern Europe,Country,25.23763153,42.75731323,BGR,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2000,2000,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article34",,E: Estimated data
2,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1983,1983,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article37",,E: Estimated data
3,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",144,Sri Lanka,4,34,Southern Asia,Country,80.70489654,7.614693343,LKA,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2016,2016,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article112",,E: Estimated data
4,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",152,Chile,5,5,South America,Country,-71.23029019,-35.2652885,CHL,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2008,2008,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article38",,E: Estimated data
5,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",156,China,4,30,Eastern Asia,Country,104.1403375,32.30955217,CHN,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2007,2007,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article39",,E: Estimated data
6,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",170,Colombia,5,5,South America,Country,-73.07446751,3.888209046,COL,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1985,1985,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article40",,E: Estimated data
7,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",184,Cook Islands,4,61,Polynesia,Country,-159.7711391,-21.22696458,COK,0,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2009,2009,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article41",,E: Estimated data
8,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",191,Croatia,4,39,Southern Europe,Country,17.95874553,45.45172212,HRV,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2003,2003,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article42",,E: Estimated data
9,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",196,Cyprus,4,145,Western Asia,Country,33.22285964,35.05659437,CYP,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,2017,2017,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article43",,E: Estimated data
10,16,Goal 16,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels",16.10,"Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements",C161002,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",2020.Q2.G.03,"['laws and regulations', 'access to information']",SG_INF_ACCSS,"Countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information",203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,,,[2020],2020,2020,1,NUMBER,Number,G,Global,1999,1999,,,Observation value is the year of adoption of FOI law/policy in a given country. Reference year represents the year of reporting.,"UNESCO World Trends in Freedom of Expression and Media Development (raw research records); Global Right to Information Rating (Access Info & Center for Law and Democracy) http://www.rti-rating.org/by-section/; Freedominfo; Article43",,E: Estimated data
