Country Name,Country Code,Indicator Name,Indicator Code,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,2017 (bllion),2017(Trillion)
Aruba,ABW,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2275001195,2456156639,2600636441,2790682951,3019627868,3096542135,3133260566,3354057489,3420869840,3463221649,3727000980,3616262213,3497878575,3566980819,3849184771,3895927321,3936858226,4007730571,4004095237,3582874487,3450844509,3569762500,3520861644,3668675595,3679681622,3889423507,3971101384,4050523376,,,,4.050523376,0.004050523
Afghanistan,AFG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,26890054381,29265058686,29678901143,33011757108,34780330056,39589169626,41143038129,49943751387,57116893443,57360414056,64675178728,68297470348,70158264544,71176481719,72785293846,74711922905,75600418107,78557606647,,74.7119229,0.074711923
Angola,AGO,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,68524299956,69203621978,65163320249,49534929135,50198381864,57728139158,65547051778,70315126122,73613711666,75219587217,77517262957,80777637918,91816456696,94561631037,1.04919E+11,1.20687E+11,1.34624E+11,1.53484E+11,1.70623E+11,1.72088E+11,1.79666E+11,1.85904E+11,2.01785E+11,2.11782E+11,2.21996E+11,2.2409E+11,2.18309E+11,2.17987E+11,2.1362E+11,2.12285E+11,,217.9873148,0.217987315
Albania,ALB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,16195676087,11660539927,10822483989,11857049789,12841524815,14552315554,15876576188,14142856595,15391683237,17375655312,18583269635,20123835701,21037449921,22200831584,23424097114,24719429729,26177896837,27743330365,29824071698,30823197941,31965780692,32779412691,33244069386,33577170690,34172993146,34931207194,36089108511,37461287688,38986449579,39859773444,,37.46128769,0.037461288
Arab World,ARB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.15855E+12,2.20763E+12,2.31408E+12,2.37512E+12,2.44403E+12,2.50929E+12,2.62525E+12,2.7306E+12,2.87479E+12,2.93144E+12,3.08892E+12,3.14195E+12,3.16205E+12,3.32778E+12,3.61511E+12,3.81666E+12,4.04993E+12,4.23679E+12,4.48767E+12,4.52805E+12,4.73676E+12,4.91406E+12,5.21245E+12,5.37507E+12,5.51588E+12,5.71922E+12,5.92443E+12,5.99539E+12,6.13821E+12,6.24816E+12,,5995.385084,5.995385084
United Arab Emirates,ARE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,2.03787E+11,2.05539E+11,2.12415E+11,2.15094E+11,2.29927E+11,2.45304E+11,2.59528E+11,2.80784E+11,2.81604E+11,2.89777E+11,3.21225E+11,3.2572E+11,3.33646E+11,3.63008E+11,3.97735E+11,4.17046E+11,4.58072E+11,4.72659E+11,4.87745E+11,4.62173E+11,4.69581E+11,5.02124E+11,5.24643E+11,5.51155E+11,5.74768E+11,6.04115E+11,6.22607E+11,6.37385E+11,6.44969E+11,6.55789E+11,,637.3847034,0.637384703
Argentina,ARG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,4.61383E+11,5.03522E+11,5.43488E+11,5.88092E+11,6.22414E+11,6.04705E+11,6.38125E+11,6.89884E+11,7.16445E+11,6.9219E+11,6.86729E+11,6.56452E+11,5.84935E+11,6.36626E+11,6.94111E+11,7.55551E+11,8.16351E+11,8.89885E+11,9.2599E+11,8.71185E+11,9.59396E+11,1.017E+12,1.00656E+12,1.03077E+12,1.00487E+12,1.03232E+12,1.01084E+12,1.03933E+12,1.01267E+12,9.91523E+11,,1039.330592,1.039330592
Armenia,ARM,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,18327906065,16183541333,9418820611,8589964511,9053822834,9678536466,10246221416,10586506596,11359321576,11734179188,12426495761,13619439354,15417205348,17575614097,19421053577,22120580024,25040496587,28471044620,30435546699,26144134614,26719305576,27975112937,29989321069,30978968665,32094211537,33121226305,33187468758,35676528915,37531708419,40384118258,,35.67652892,0.035676529
Antigua and Barbuda,ATG,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,966654847.2,987694849.7,999137049.5,1051890274,1122121907,1073202021,1144081217,1206680862,1263770443,1310626222,1391930019,1328624993,1342275844,1423839822,1505953072,1603445933,1807214224,1975563154,1975279845,1738983097,1602636480,1571247040,1624243100,1614483406,1675764799,1739867714,1835521960,1893259104,2033155752,2127873345,,1.893259104,0.001893259
Australia,AUS,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,5.34253E+11,5.32128E+11,5.34321E+11,5.55854E+11,5.77999E+11,6.00181E+11,6.23459E+11,6.48189E+11,6.77855E+11,7.12246E+11,7.4026E+11,7.54553E+11,7.84746E+11,8.08178E+11,8.40953E+11,8.679E+11,8.92153E+11,9.2645E+11,9.60339E+11,9.78941E+11,9.99179E+11,1.02379E+12,1.0639E+12,1.0914E+12,1.11905E+12,1.14358E+12,1.17527E+12,1.20231E+12,1.23777E+12,1.26451E+12,,1202.307371,1.202307371
